Fecha,Campeón,subcampeon
1955-56,Real Madrid C. F.,Stade de Reims
1956-57,Real Madrid C. F.,A. C. F. Fiorentina
1957-58,Real Madrid C. F.,A. C. Milan
1958-59,Real Madrid C. F.,Stade de Reims
1959-60,Real Madrid C. F.,Eintracht Frankfurt
1960-61,S. L. Benfica,C. F. Barcelona
1961-62,S. L. Benfica,Real Madrid C. F.
1962-63,Milan A. C.,S. L. Benfica
1963-64,F. C. Internazionale,Real Madrid C. F.
1964-65,F. C. Internazionale,S. L. Benfica
1965-66,Real Madrid C. F.,F. K. Partizan
1966-67,Celtic F. C.,F. C. Internazionale
1967-68,Manchester United F. C.,S. L. Benfica
1968-69,Milan A. C.,A. F. C. Ajax
1969-70,S. C. Feijenoord,Celtic F. C.
1970-71,A. F. C. Ajax,P. A. E. Panathinaikós
1971-72,A. F. C. Ajax,F. C. Internazionale
1972-73,A. F. C. Ajax,Juventus F. C.
1973-74,F. C. Bayern,Atlético de Madrid
1974-75,F. C. Bayern,Leeds United F. C.
1975-76,F. C. Bayern,A. S. Saint-Étienne
1976-77,Liverpool F. C.,Borussia Mönchengladbach
1977-78,Liverpool F. C.,Club Brugge K. V.
1978-79,Nottingham Forest F. C.,Malmö FF
1979-80,Nottingham Forest F. C.,Hamburger S. V.
1980-81,Liverpool F. C.,Real Madrid C. F.
1981-82,Aston Villa F. C.,F. C. Bayern
1982-83,Hamburger S. V.,Juventus F. C.
1983-84,Liverpool F. C.,A. S. Roma
1984-85,Juventus F. C.,Liverpool F. C.
1985-86,F. C. Steaua București,F. C. Barcelona
1986-87,F. C. Porto,F. C. Bayern
1987-88,P. S. V. Eindhoven,S. L. Benfica
1988-89,A. C. Milan,F. C. Steaua București
1989-90,Milan A. C.,S. L. Benfica
1990-91,F. K. Estrella Roja,Olympique de Marseille
1991-92,F. C. Barcelona,U. C. Sampdoria
1992-93,Olympique de Marseille,Milan A. C.
1993-94,Milan A. C.,F. C. Barcelona
1994-95,A. F. C. Ajax,Milan A. C.
1995-96,Juventus F. C.,A. F. C. Ajax
1996-97,B. V. Borussia,Juventus F. C.
1997-98,Real Madrid C. F.,Juventus F. C.
1998-99,Manchester United F. C.,F. C. Bayern
1999-00,Real Madrid C. F.,Valencia C. F.
2000-01,F. C. Bayern,Valencia C. F.
2001-02,Real Madrid C. F.,Bayer Leverkusen
2002-03,A. C. Milan,Juventus F. C.
2003-04,F. C. Porto,A. S. Mónaco F. C.
2004-05,Liverpool F. C.,A. C. Milan
2005-06,F. C. Barcelona,Arsenal F. C.
2006-07,A. C. Milan,Liverpool F. C.
2007-08,Manchester United F. C.,Chelsea F. C.
2008-09,F. C. Barcelona,Manchester United F. C.
2009-10,F. C. Internazionale,F. C. Bayern
2010-11,F. C. Barcelona,Manchester United F. C.
2011-12,Chelsea F. C.,F. C. Bayern
2012-13,F. C. Bayern,B. V. Borussia
2013-14,Real Madrid C. F.,Atlético de Madrid
2014-15,F. C. Barcelona,Juventus F. C.
2015-16,Real Madrid C. F.,Atlético de Madrid
2016-17,Real Madrid C. F.,Juventus F. C.
2017-18,Real Madrid C. F.,Liverpool F. C.
2018-19,Liverpool F. C., Tottenham Hotspur F. C.
2019-20,F. C. Bayern,París Saint-Germain F. C.
2020-21,Chelsea F. C.,Manchester City F. C.
2021-22,Real Madrid C. F.,Liverpool F. C.
2022-23,Manchester City F. C.,F. C. Internazionale
2023-24,Real Madrid C. F.,B. V. Borussia
2024-25,,
"-
",,
2025-26,,
